px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.27498	-8.48914	-2.74592	2.11684	0.000649848	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.12696
9.3169	-8.6168	-2.6883	2.08725	-0.038755	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	0.0509475
9.35586	-8.76117	-2.68321	2.05933	-0.0642757	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.714997
9.49469	-8.89461	-2.82456	2.12145	0.0286565	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	0.312739
9.53119	-9.05163	-2.83709	2.08646	-0.00689584	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.08061
9.57514	-9.17429	-2.79854	2.06428	-0.0358049	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	0.0252292
9.61494	-9.31566	-2.80154	2.04007	-0.0578012	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.412643
9.65185	-9.43847	-2.7683	2.01648	-0.0847056	9.47534	-9.42627	9.55	-9.5	0	-3.00023	0.0183511
9.66824	-9.59212	-2.77408	1.97609	-0.120108	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.0946
9.73472	-9.72671	-2.79953	1.98003	-0.104782	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.00963919
9.75191	-9.88059	-2.80639	1.94291	-0.135828	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.864702
9.76846	-10.0204	-2.75903	1.90167	-0.181157	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	0.0421107
9.80032	-10.165	-2.7537	1.88121	-0.191594	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.245234
9.83949	-10.3011	-2.75318	1.86646	-0.198772	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.00423964
9.84738	-10.4487	-2.75765	1.83225	-0.222184	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.550067
9.89057	-10.5938	-2.76741	1.82858	-0.208746	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.00759382
